contest	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Bundesliga  Bundesliga	2017	11	Sa	0.770833333	1558	6	FC Admira Wacker Mödling	Wolfsberger AC	0	0.19047619	-0.344827586	-0.6	-1.454545455	-0.230769231	-0.4375	1	1.206896552	204
Bundesliga  Bundesliga	2017	12	Sa	0.666666667	3401	3	Wolfsberger AC	SK Rapid Wien	0	0.466666667	0.695652174	-0.230769231	-0.411764706	0.181818182	1.166666667	1.2	1.826086957	205
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	3000	6	SV Mattersburg	Wolfsberger AC	4	0.739130435	-0.322580645	0.083333333	-0.272727273	-0.214285714	-0.411764706	1.347826087	1.193548387	206
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	2210	49	Wolfsberger AC	SC Rheindorf Altach	0	0.46875	-0.565217391	-0.214285714	-0.611111111	-0.090909091	-1	1.15625	0.913043478	207
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	2287	7	Wolfsberger AC	FC Admira Wacker Mödling	-2	0.454545455	-1	-0.2	-0.611111111	-0.545454545	-1.454545455	1.151515152	1	208
Bundesliga  Bundesliga	2018	03	Sa	0.666666667	12700	7	SK Rapid Wien	Wolfsberger AC	4	1.166666667	-0.470588235	0.181818182	1.076923077	-0.3125	-0.611111111	1.791666667	1.117647059	209
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	2814	7	Wolfsberger AC	SV Mattersburg	-2	0.4	0.083333333	-0.3125	-0.789473684	0.384615385	-0.272727273	1.085714286	1.416666667	210
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	3827	7	SC Rheindorf Altach	Wolfsberger AC	1	0.25	-0.611111111	-0.090909091	-0.923076923	-0.411764706	-0.789473684	0.916666667	1.055555556	211
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	1700	7	FC Admira Wacker Mödling	Wolfsberger AC	2	0.304347826	-0.621621622	-0.545454545	-1.166666667	-0.411764706	-0.8	1.086956522	1.027027027	212
Bundesliga  Bundesliga	2018	05	So	0.729166667	4000	7	Wolfsberger AC	SK Rapid Wien	0	0.394736842	0.8	-0.411764706	-0.857142857	0.5	1.076923077	1	1.84	213
ÖFB-Cup  ÖFB-Cup	2017	07	So	0.666666667	1600	45	SC Schwaz	SK Rapid Wien	-2	0	0.769230769	0	0	0.5	1	0	1.807692308	214
Bundesliga  Bundesliga	2017	07	Sa	0.666666667	17800	6	SK Rapid Wien	SV Mattersburg	0	1.259259259	0.16	0.5	1.066666667	0.384615385	-0.083333333	1.851851852	1.48	215
Bundesliga  Bundesliga	2017	08	So	0.6875	4700	7	FC Admira Wacker Mödling	SK Rapid Wien	2	0.375	0.785714286	-0.333333333	-1.166666667	0.461538462	1.066666667	1.166666667	1.821428571	216
Bundesliga  Bundesliga	2017	09	Sa	0.666666667	5631	6	SC Rheindorf Altach	SK Rapid Wien	0	0.28	0.689655172	0	-0.923076923	0.461538462	0.875	1	1.75862069	217
ÖFB-Cup  ÖFB-Cup	2017	09	Mi	0.854166667	4100	4	ASK Elektra	SK Rapid Wien	-4	0	0.666666667	0	0	0.461538462	0.823529412	0	1.733333333	218
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	7800	7	SV Mattersburg	SK Rapid Wien	-1	0.961538462	0.774193548	0.384615385	-0.076923077	0.461538462	1	1.461538462	1.774193548	219
Bundesliga  Bundesliga	2017	10	Sa	0.666666667	16800	3	SK Rapid Wien	FC Admira Wacker Mödling	1	1.3125	-0.64	0.461538462	1	-0.153846154	-1.166666667	1.8125	1.24	220
Bundesliga  Bundesliga	2017	11	Mi	0.854166667	13400	3	SK Rapid Wien	SC Rheindorf Altach	-1	1.303030303	-0.461538462	0.5	1	0	-0.923076923	1.848484848	1	221
Bundesliga  Bundesliga	2017	12	Sa	0.666666667	14400	7	SK Rapid Wien	SV Mattersburg	0	1.235294118	0.111111111	0.4	1	0.285714286	-0.076923077	1.794117647	1.407407407	222
Bundesliga  Bundesliga	2018	02	So	0.6875	3200	7	FC Admira Wacker Mödling	SK Rapid Wien	1	0.423076923	0.714285714	-0.153846154	-1.153846154	0.375	1	1.192307692	1.771428571	223
ÖFB-Cup  ÖFB-Cup	2018	02	Mi	0.854166667	7200	4	SK Rapid Wien	SV Ried	1	1.194444444	3	0.375	0.9	3	0	1.722222222	3	224
Bundesliga  Bundesliga	2018	03	Sa	0.666666667	5193	6	SC Rheindorf Altach	SK Rapid Wien	0	0.333333333	0.675675676	0	-0.785714286	0.411764706	0.9	1.074074074	1.756756757	225
Bundesliga  Bundesliga	2018	04	So	0.6875	7100	15	SV Mattersburg	SK Rapid Wien	-2	0.928571429	0.657894737	0.285714286	-0.071428571	0.411764706	0.857142857	1.392857143	1.736842105	226
Bundesliga  Bundesliga	2018	04	So	0.6875	18600	4	SK Rapid Wien	FC Admira Wacker Mödling	3	1.230769231	-0.592592593	0.411764706	0.909090909	-0.071428571	-1.153846154	1.769230769	1.259259259	227
Bundesliga  Bundesliga	2018	05	So	0.6875	26100	7	SK Rapid Wien	SC Rheindorf Altach	3	1.275	-0.392857143	0.555555556	0.909090909	0	-0.785714286	1.8	1.071428571	228
ÖFB-Cup  ÖFB-Cup	2017	07	Sa	0.708333333	565	45	FC Lendorf	FC Admira Wacker Mödling	-2	0	-0.678571429	0	0	-0.071428571	-1.285714286	0	1.214285714	229
Bundesliga  Bundesliga	2017	07	So	0.770833333	1500	8	FC Admira Wacker Mödling	SC Rheindorf Altach	3	0.551724138	-0.482758621	-0.071428571	-1.066666667	0	-0.933333333	1.275862069	1.034482759	230
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	2200	13	SV Mattersburg	FC Admira Wacker Mödling	-5	0.827586207	-0.466666667	0.133333333	-0.071428571	0.133333333	-1.066666667	1.344827586	1.333333333	231
ÖFB-Cup  ÖFB-Cup	2017	09	Di	0.791666667	1300	3	TuS Bad Gleichenberg	FC Admira Wacker Mödling	2	-3	-0.290322581	-3	0	0.133333333	-0.6875	0	1.387096774	232
Bundesliga  Bundesliga	2017	10	Sa	0.770833333	5072	14	SC Rheindorf Altach	FC Admira Wacker Mödling	0	0.366666667	-0.34375	0	-1.0625	0.133333333	-0.764705882	1	1.34375	233
Bundesliga  Bundesliga	2017	11	Sa	0.770833333	1056	7	FC Admira Wacker Mödling	SV Mattersburg	2	0.818181818	-0.133333333	0.133333333	-0.722222222	-0.1875	-0.071428571	1.333333333	1.3	234
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	1400	7	FC Admira Wacker Mödling	SC Rheindorf Altach	2	0.852941176	-0.548387097	0.25	-0.722222222	0	-1.0625	1.382352941	1	235
Bundesliga  Bundesliga	2018	03	Sa	0.770833333	2100	7	SV Mattersburg	FC Admira Wacker Mödling	1	0.612903226	-0.2	-0.1875	-0.2	0.352941176	-0.722222222	1.258064516	1.428571429	236
Bundesliga  Bundesliga	2018	04	Sa	0.770833333	4069	7	SC Rheindorf Altach	FC Admira Wacker Mödling	-1	0.375	-0.222222222	0	-1.117647059	0.352941176	-0.736842105	0.96875	1.388888889	237
Bundesliga  Bundesliga	2018	05	Sa	0.770833333	3307	7	FC Admira Wacker Mödling	SV Mattersburg	0	0.945945946	-0.15625	0.352941176	-0.65	-0.117647059	-0.2	1.432432432	1.3125	238
ÖFB-Cup  ÖFB-Cup	2017	07	Sa	0.708333333	800	45	FC Pinzgau Saalfelden	SV Mattersburg	-5	0	-0.151515152	0	0	-0.117647059	-0.1875	0	1.303030303	239
Bundesliga  Bundesliga	2017	08	So	0.6875	4613	7	SC Rheindorf Altach	SV Mattersburg	1	0.333333333	0	-0.0625	-1.117647059	-0.117647059	0.117647059	0.939393939	1.352941176	240
ÖFB-Cup  ÖFB-Cup	2017	09	Di	0.791666667	500	3	SC/ESV Parndorf	SV Mattersburg	-1	0	-0.028571429	0	0	-0.117647059	0.055555556	0	1.314285714	241
ÖFB-Cup  ÖFB-Cup	2017	10	Di	0.625	600	3	ASKÖ Oedt	SV Mattersburg	-3	0	0	0	0	-0.117647059	0.105263158	0	1.361111111	242
Bundesliga  Bundesliga	2017	11	Sa	0.770833333	1950	13	SV Mattersburg	SC Rheindorf Altach	1	0.864864865	-0.558823529	-0.117647059	0.25	0	-1.117647059	1.405405405	1	243
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	3113	7	SC Rheindorf Altach	SV Mattersburg	0	0.342857143	0.105263158	0	-1.111111111	-0.055555556	0.25	0.971428571	1.447368421	244
ÖFB-Cup  ÖFB-Cup	2018	02	Di	0.8125	500	3	SV Mattersburg	TSV Hartberg	3	0.871794872	0	-0.055555556	0.238095238	0	0	1.435897436	0	245
Bundesliga  Bundesliga	2018	05	Sa	0.770833333	2400	7	SV Mattersburg	SC Rheindorf Altach	-1	0.925	-0.555555556	0.105263158	0.238095238	0	-1.111111111	1.475	0.972222222	246
Europa League Qualifikation  Europa League Qualifikation	2017	06	Do	0.75	1700	45	Chikhura Sachkhere	SC Rheindorf Altach	-1	0	-0.513513514	0	0	0	-1	0	1.027027027	247
Bundesliga  Bundesliga	2017	07	Do	0.854166667	3335	7	SC Rheindorf Altach	Chikhura Sachkhere	0	0.368421053	-1	0	-0.9	-1	0	1.078947368	0	248
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	0.770833333	2811	7	SC Rheindorf Altach	Dynamo Brest	0	0.358974359	0	0	-0.9	0	0	1.076923077	0	249
ÖFB-Cup  ÖFB-Cup	2017	07	So	0.458333333	3000	3	FC Dornbirn	SC Rheindorf Altach	-4	0	-0.45	0	0	0	-0.9	0	1.075	250
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	0.770833333	10100	4	Dynamo Brest	SC Rheindorf Altach	-3	1	-0.341463415	0	0	0	-0.666666667	1	1.12195122	251
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	0.854166667	13745	4	KAA Gent	SC Rheindorf Altach	0	0	-0.261904762	0	0	0	-0.5	0	1.166666667	252
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.854166667	3852	4	SC Rheindorf Altach	KAA Gent	2	0.534883721	0	0	-0.47826087	0	0	1.162790698	1	253
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.854166667	5269	5	SC Rheindorf Altach	Maccabi Tel Aviv	-1	0.568181818	0	0.095238095	-0.47826087	0	0	1.204545455	0	254
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	0.791666667	10637	4	Maccabi Tel Aviv	SC Rheindorf Altach	0	1	-0.222222222	0	1	0.045454545	-0.47826087	3	1.177777778	255
ÖFB-Cup  ÖFB-Cup	2017	09	Mi	0.791666667	900	4	Union Gurten	SC Rheindorf Altach	0	0	-0.217391304	0	0	0.045454545	-0.458333333	0	1.173913043	256
ÖFB-Cup  ÖFB-Cup	2018	07	Fr	0.791666667	3100	45	WSC Hertha Wels	LASK	-3	0	0	0	0	0	0	0	0	257
ÖFB-Cup  ÖFB-Cup	2018	07	Fr	0.770833333	1000	45	SK Maria Saal	SKN St. Pölten	-6	0	0	0	0	0	0	0	0	258
ÖFB-Cup  ÖFB-Cup	2018	07	Fr	0.847222222	2000	45	FC Kufstein	SK Rapid Wien	-5	0	0	0	0	0	0	0	0	259
ÖFB-Cup  ÖFB-Cup	2018	07	Fr	0.791666667	800	45	SC Neusiedl/See	FC Admira Wacker Mödling	1	0	0	0	0	0	0	0	0	260
ÖFB-Cup  ÖFB-Cup	2018	07	Fr	0.791666667	530	45	SV Allerheiligen	SV Mattersburg	-2	0	0	0	0	0	0	0	0	261
ÖFB-Cup  ÖFB-Cup	2018	07	Fr	0.770833333	150	45	SV Grödig	TSV Hartberg	0	0	0	0	0	0	0	0	0	262
ÖFB-Cup  ÖFB-Cup	2018	07	Sa	0.6875	1000	45	ASV Siegendorf	SK Sturm Graz	-2	0	0	0	0	0	0	0	0	263
ÖFB-Cup  ÖFB-Cup	2018	07	Sa	0.75	600	45	Union Gurten	Wolfsberger AC	-1	0	0	0	0	0	0	0	0	264
ÖFB-Cup  ÖFB-Cup	2018	07	Sa	0.708333333	800	45	Team Wiener Linien	FC Wacker Innsbruck	-1	0	0	0	0	0	0	0	0	265
ÖFB-Cup  ÖFB-Cup	2018	07	So	0.458333333	2152	45	FV Austria XIII	FK Austria Wien	-4	0	0	0	0	0	0	0	0	266
ÖFB-Cup  ÖFB-Cup	2018	07	So	0.71875	2112	45	ASKÖ Oedt	Red Bull Salzburg	-6	0	0	0	0	0	0	0	0	267
ÖFB-Cup  ÖFB-Cup	2018	07	So	0.6875	600	45	SC/ESV Parndorf	SC Rheindorf Altach	-3	0	0	0	0	0	0	0	0	268
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2018	07	Mi	0.854166667	53106	4	Ajax Amsterdam	SK Sturm Graz	2	0	2	0	0	0	2	0	3	269
Europa League Qualifikation  Europa League Qualifikation	2018	07	Do	0.822916667	8304	6	LASK	Lillestrøm SK	4	3	0	0	3	0	0	3	0	270
Europa League Qualifikation  Europa League Qualifikation	2018	07	Do	0.791666667	8000	6	ZSKA Sofia	FC Admira Wacker Mödling	3	0	-1	0	0	0	-1	0	0	271
Bundesliga  Bundesliga	2018	07	Fr	0.864583333	13155	5	FK Austria Wien	FC Wacker Innsbruck	1	4	1	0	4	0	1	3	3	272
Bundesliga  Bundesliga	2018	07	Sa	0.708333333	10785	3	SK Sturm Graz	TSV Hartberg	1	1	0	0	0	0	0	1.5	1	273
Bundesliga  Bundesliga	2018	07	Sa	0.708333333	4523	8	SC Rheindorf Altach	SV Mattersburg	-1	3	2	0	3	0	2	3	3	274
Bundesliga  Bundesliga	2018	07	So	0.708333333	11532	7	Red Bull Salzburg	LASK	2	6	3.5	0	6	4	3	3	3	275
Bundesliga  Bundesliga	2018	07	So	0.708333333	2786	9	SKN St. Pölten	Wolfsberger AC	1	6	1	0	6	0	1	3	3	276
Bundesliga  Bundesliga	2018	07	So	0.708333333	5200	9	FC Admira Wacker Mödling	SK Rapid Wien	-3	0	5	0	-2	0	5	0	3	277
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2018	08	Mi	0.854166667	15172	4	SK Sturm Graz	Ajax Amsterdam	-2	1	2	1	0	2	0	2	3	278
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.770833333	1975	4	Lillestrøm SK	LASK	-1	0	1.666666667	0	-4	4	0.5	0	2	279
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.791666667	2400	4	FC Admira Wacker Mödling	ZSKA Sofia	-2	-1	3	-3	-2	3	0	0	3	280
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	7820	3	FC Wacker Innsbruck	SK Sturm Graz	-1	2	-0.25	0	0	-0.5	0	1.5	1.5	281
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	3500	6	SV Mattersburg	Red Bull Salzburg	-2	3	4	0	1.5	2	6	3	3	282
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	15200	6	SK Rapid Wien	SC Rheindorf Altach	0	4	1	0	4	-1	3	3	1.5	283
Bundesliga  Bundesliga	2018	08	So	0.729166667	4727	9	Wolfsberger AC	FK Austria Wien	1	2.5	2.5	0	0	1	4	1.5	3	284
Bundesliga  Bundesliga	2018	08	So	0.708333333	5061	3	LASK	SKN St. Pölten	0	2.5	3.5	4	0.666666667	1	6	2.25	3	285
Bundesliga  Bundesliga	2018	08	So	0.708333333	3146	3	TSV Hartberg	FC Admira Wacker Mödling	-1	1.5	-2.25	0	-0.5	-2.5	-2	0.5	0	286
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2018	08	Mi	0.791666667	10050	4	Red Bull Salzburg	Shkendija Tetovo	3	3.333333333	0	2	4	0	0	3	0	287
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.791666667	7650	5	SK Sturm Graz	AEK Larnaka	-2	0.8	0	-0.5	0.333333333	0	0	1.8	0	288
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.791666667	24476	4	Besiktas Istanbul	LASK	1	0	1.2	0	0	2	0.666666667	0	2	289
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.878472222	9563	5	Slovan Bratislava	SK Rapid Wien	1	0	2.666666667	0	0	0	4	0	2.333333333	290
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	10734	6	Red Bull Salzburg	FK Austria Wien	2	3.25	1.333333333	2.5	4	1	1.5	3	2	291
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	2812	7	TSV Hartberg	SV Mattersburg	2	0.666666667	0.333333333	-1	-0.5	-2	1.5	0.333333333	2	292
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	5845	7	SC Rheindorf Altach	FC Wacker Innsbruck	-1	1	-0.333333333	-1	1.5	-1	0	1.333333333	1	293
Bundesliga  Bundesliga	2018	08	So	0.708333333	3450	3	SKN St. Pölten	SK Sturm Graz	2	2.333333333	-0.333333333	1	3	-1	0.333333333	2.333333333	1.5	294
Bundesliga  Bundesliga	2018	08	So	0.708333333	1850	3	FC Admira Wacker Mödling	LASK	-1	-0.8	0.833333333	-2.5	-1	2	0.25	0.6	1.666666667	295
Bundesliga  Bundesliga	2018	08	So	0.708333333	14800	7	SK Rapid Wien	Wolfsberger AC	0	2.25	0.333333333	0	2.333333333	1	0	1.75	2	296
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2018	08	Di	0.84375	5000	3	Shkendija Tetovo	Red Bull Salzburg	-1	0	3	0	-3	2.333333333	4	0	3	297
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.729166667	4145	4	AEK Larnaka	SK Sturm Graz	5	2	-0.571428571	0	2	-1	-0.25	3	1.285714286	298
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.822916667	14000	4	LASK	Besiktas Istanbul	1	1.571428571	1	2	0.4	1	0	1.857142857	3	299
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.854166667	17800	4	SK Rapid Wien	Slovan Bratislava	4	1.8	1	0	2.333333333	1	0	1.6	3	300
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	7600	4	Red Bull Salzburg	TSV Hartberg	2	2.666666667	0	2.333333333	3	0.5	-0.5	3	1	301
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	4321	6	FC Wacker Innsbruck	SKN St. Pölten	-2	1.25	2.25	-1	0.333333333	1.5	3	1.5	2.5	302
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	2200	6	SV Mattersburg	Wolfsberger AC	-6	1.5	0.25	-2	0.333333333	1	0	1.5	1.75	303
Bundesliga  Bundesliga	2018	08	So	0.708333333	10055	8	FK Austria Wien	FC Admira Wacker Mödling	4	1.25	-1.5	1	0.333333333	-2	-1	1.5	0.5	304
Bundesliga  Bundesliga	2018	08	So	0.708333333	6712	3	SK Sturm Graz	SC Rheindorf Altach	0	0.25	0.25	-1	-1.2	-1	1.5	1.125	1	305
Bundesliga  Bundesliga	2018	08	So	0.708333333	5864	3	LASK	SK Rapid Wien	1	1.5	1.833333333	1.666666667	0.4	1.333333333	2.333333333	2	1.833333333	306
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2018	08	Di	0.875	0	3	Roter Stern Belgrad	Red Bull Salzburg	0	0	2.571428571	0	0	2.25	3	0	3	307
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.854166667	19300	4	SK Rapid Wien	FCSB	2	2	0	1.333333333	1.5	0	0	1.571428571	0	308
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	5424	6	SKN St. Pölten	FK Austria Wien	0	2.2	1.2	1.5	2.666666667	2.5	0.333333333	2.6	1.8	309
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	5635	6	Wolfsberger AC	SK Sturm Graz	0	2.4	-1	1	1.5	-0.75	-1.2	2	1.111111111	310
Bundesliga  Bundesliga	2018	08	Sa	0.708333333	4125	4	SC Rheindorf Altach	Red Bull Salzburg	-1	0.6	2.25	-1	1	2.25	2.25	1	2.75	311
Bundesliga  Bundesliga	2018	08	So	0.708333333	3141	7	TSV Hartberg	LASK	-1	0.8	0.888888889	0.5	-1	1.5	0.4	0.8	2.111111111	312
Bundesliga  Bundesliga	2018	08	So	0.708333333	17400	3	SK Rapid Wien	FC Wacker Innsbruck	1	2	-0.4	1.5	1.5	-1.5	0.333333333	1.75	1.2	313
Bundesliga  Bundesliga	2018	08	So	0.708333333	3400	7	FC Admira Wacker Mödling	SV Mattersburg	0	-0.714285714	-1.4	-2	-1.75	-4	0.333333333	0.428571429	1.2	314
UEFA CL-Qualifikation  UEFA Champions League-Qualifikation	2018	08	Mi	0.875	26500	4	Red Bull Salzburg	Roter Stern Belgrad	0	2.333333333	0	2.25	2	0	0	2.777777778	1	315
Europa League Qualifikation  Europa League Qualifikation	2018	08	Do	0.854166667	31274	4	FCSB	SK Rapid Wien	1	1	1.444444444	0	-2	1.4	1.5	0	1.888888889	316
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	9046	7	FK Austria Wien	SV Mattersburg	1	1.5	-1.166666667	2.5	0.25	-4	0.25	1.666666667	1.166666667	317
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	3248	7	SC Rheindorf Altach	SKN St. Pölten	-1	0.333333333	1.833333333	-1	1	1	2.666666667	0.833333333	2.333333333	318
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	3115	6	FC Wacker Innsbruck	TSV Hartberg	1	0.666666667	-0.5	-1.5	0	0	-1	1	0.666666667	319
Bundesliga  Bundesliga	2018	09	So	0.708333333	14487	8	SK Sturm Graz	SK Rapid Wien	0	0.3	1.2	-0.75	-1	1.4	1	1.1	1.7	320
Bundesliga  Bundesliga	2018	09	So	0.708333333	6489	4	Red Bull Salzburg	FC Admira Wacker Mödling	2	2.1	-1.625	1.8	2	-1.5	-1.75	2.6	0.5	321
Bundesliga  Bundesliga	2018	09	So	0.708333333	5119	7	LASK	Wolfsberger AC	2	1.4	1.166666667	1.5	0.5	0.5	1.5	2.2	1.833333333	322
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	2400	13	FC Admira Wacker Mödling	SK Sturm Graz	-1	-0.444444444	-0.818181818	-1.5	-1.8	-0.6	-1	0.444444444	1.090909091	323
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	5511	13	SKN St. Pölten	Red Bull Salzburg	-2	1.857142857	1.909090909	1	2.25	1.833333333	2	2.428571429	2.636363636	324
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	2166	14	TSV Hartberg	SC Rheindorf Altach	1	0.571428571	-0.142857143	0	-1	-1	1	0.571428571	0.714285714	325
Bundesliga  Bundesliga	2018	09	So	0.708333333	26000	15	SK Rapid Wien	FK Austria Wien	-1	1.727272727	1	1.4	0.833333333	2	0.25	1.636363636	1.857142857	326
Bundesliga  Bundesliga	2018	09	So	0.604166667	1952	14	SV Mattersburg	LASK	-2	0.142857143	1	-4	0	1.6	0.5	1	2.272727273	327
Bundesliga  Bundesliga	2018	09	So	0.604166667	3887	14	Wolfsberger AC	FC Wacker Innsbruck	2	1.714285714	-0.285714286	0.5	0.8	-0.666666667	0	1.571428571	1.285714286	328
Europa League  Europa League	2018	09	Do	0.875	24057	5	RasenBallsport Leipzig	Red Bull Salzburg	-1	0	1.916666667	0	0	1.833333333	2	0	2.666666667	329
Europa League  Europa League	2018	09	Do	0.788194444	21400	4	SK Rapid Wien	Spartak Moskau	2	1.5	0	1	0.833333333	0	0	1.5	0	330
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	6958	7	SK Sturm Graz	SV Mattersburg	-1	0.5	-1.25	-0.6	-0.714285714	-3.333333333	0	1.25	0.875	331
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	2565	7	SKN St. Pölten	TSV Hartberg	3	1.375	-0.375	0.25	2.25	0.25	-1	2.125	0.875	332
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	3267	6	SC Rheindorf Altach	Wolfsberger AC	-1	0.25	0.875	-1	0.5	1	0.8	0.625	1.75	333
Bundesliga  Bundesliga	2018	09	So	0.604166667	10076	7	FK Austria Wien	LASK	-3	1.375	1.083333333	2	0.4	1.6	0.714285714	2	2.333333333	334
Bundesliga  Bundesliga	2018	09	So	0.708333333	15973	3	Red Bull Salzburg	SK Rapid Wien	1	2.230769231	1	1.833333333	1.857142857	1.142857143	0.833333333	2.692307692	1.615384615	335
Bundesliga  Bundesliga	2018	09	So	0.604166667	3620	8	FC Wacker Innsbruck	FC Admira Wacker Mödling	-2	0.75	-1.6	-0.666666667	-0.4	-1.4	-1.8	1.125	0.4	336
ÖFB-Cup  ÖFB-Cup	2018	09	Di	0.770833333	2312	3	Wolfsberger AC	SK Austria Klagenfurt	4	1.666666667	0	1	0.833333333	0	0	1.888888889	0	337
ÖFB-Cup  ÖFB-Cup	2018	09	Di	0.666666667	540	3	SV Leobendorf	SC Rheindorf Altach	-1	0	-0.333333333	0	0	-1	0.5	0	0.555555556	338
ÖFB-Cup  ÖFB-Cup	2018	09	Di	0.791666667	875	3	TSV Hartberg	WSG Wattens	3	0.555555556	0	0.25	-1.4	0	0	0.777777778	0	339
ÖFB-Cup  ÖFB-Cup	2018	09	Mi	0.864583333	8900	3	FK Austria Wien	SK Sturm Graz	2	0.888888889	-0.692307692	0.75	0.4	-0.666666667	-0.714285714	1.777777778	1.153846154	340
ÖFB-Cup  ÖFB-Cup	2018	09	Mi	0.854166667	1300	3	SC Schwaz	Red Bull Salzburg	-6	0	1.785714286	0	0	1.714285714	1.857142857	0	2.714285714	341
ÖFB-Cup  ÖFB-Cup	2018	09	Mi	0.791666667	2000	3	ATSV Stadl-Paura	LASK	-8	0	1.230769231	0	0	1.6	1	0	2.384615385	342
ÖFB-Cup  ÖFB-Cup	2018	09	Mi	0.791666667	600	4	FC Pinzgau Saalfelden	SKN St. Pölten	-5	0	1.444444444	0	0	0.8	2.25	0	2.222222222	343
ÖFB-Cup  ÖFB-Cup	2018	09	Mi	0.770833333	5300	3	SV Mattersburg	SK Rapid Wien	0	0.111111111	0.857142857	-3.333333333	0.166666667	1.142857143	0.571428571	1.111111111	1.5	344
ÖFB-Cup  ÖFB-Cup	2018	09	Mi	0.791666667	600	3	SC Neusiedl/See	FC Wacker Innsbruck	-2	1	-0.666666667	1	0	-1	-0.4	3	1	345
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	4655	3	Wolfsberger AC	Red Bull Salzburg	-3	1.9	2.066666667	1.75	0.833333333	1.714285714	2.375	2	2.733333333	346
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	15800	3	SK Rapid Wien	SKN St. Pölten	-2	1.466666667	1.8	1.142857143	0.5	0.8	2.8	1.466666667	2.3	347
Bundesliga  Bundesliga	2018	09	Sa	0.708333333	1600	6	FC Admira Wacker Mödling	SC Rheindorf Altach	-2	-0.181818182	-0.2	-1.4	-1.166666667	-1	0.6	0.636363636	0.8	348
Bundesliga  Bundesliga	2018	09	So	0.604166667	4058	4	TSV Hartberg	FK Austria Wien	-1	0.8	0.7	0.8	-1.4	1	0.4	1	1.9	349
Bundesliga  Bundesliga	2018	09	So	0.708333333	6009	4	LASK	SK Sturm Graz	0	2.142857143	-0.785714286	1.6	1.777777778	-0.666666667	-0.875	2.428571429	1.071428571	350
Bundesliga  Bundesliga	2018	09	So	0.604166667	1900	4	SV Mattersburg	FC Wacker Innsbruck	1	0.1	-0.4	-2.5	0.166666667	-1	0	1.1	1.2	351
